type,lot,chemin,loc,sha256,symboles,statut
perimetre,7,apps/backend/app/agent_workspace_seed/stages/05-connexions/CONTEXT.md,50,d34d1545b608dd4d3b27d486b8e81a924a52e40e972268feac3486be66313be6,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/06-relecture/CONTEXT.md,57,bd5b9cd19e1205420e6d6d2db9fb7e98ea8eaf27cae5450b2082f0d6be71b685,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/07-publication/CONTEXT.md,54,ab81e76eaa898cac8f7c919612589fb748ab5c735f0c93f5b41991ea52f2fc6c,-1,todo
perimetre,4,apps/backend/app/api/v1/endpoints/agent_chat.py,404,c7c1e303b9fa701ad92669aa731b043e685cc8754ada3835b049a9a4be601613,5,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_definitions.py,68,24280658ff0be00635822727d96affd4bcf2544b0c1e5d2f59ef6fb437c31b40,3,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_fiche.py,144,75ec25674c3e4a041685f7000f79c8b03d5a62fd458f4c6c72affd274ce032cc,4,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_mode_gratuit.py,108,40ecf4fe0c734daff5df6191153fc3fbd2e3131f48e7fe0648a5716b981952fa,8,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_providers.py,189,b4c0de66d9545cccb243855748ddbe22a0db329dffaa20c7a36aa1af87c7ed2a,9,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_sessions.py,163,6bfdd705d2563b1c570411493234399eccca54a56e96343dff182b157e4d17e2,8,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_workspace.py,120,4683db257c270d886391e00bb08cc62e95fe94fd3ce82663ed529e111986fba7,6,verifie
perimetre,1,apps/backend/app/core/config.py,168,74e111d9b11cc1e2b09aee2e120fc75f8c6f77b317608309ccf392e24b080e81,2,verifie
interface,0,apps/backend/app/core/rate_limit.py,4,90968233198956874a2ce971beccb2dba0d4a1b27063b3ce9b4be02b01bb7a9e,0,todo
interface,0,apps/backend/app/core/url_safety.py,138,01c99ac27fb14df0edd9b5f35dfbff47ef6b05dd052b8fc180bdfc191f0a4d3f,4,todo
interface,0,apps/backend/app/crypto/hashing.py,13,a972124d593c6bb7b274ed53e09dd092c0ed1ddea019a94cd274d91d7b983f12,1,todo
interface,0,apps/backend/app/crypto/keygen.py,51,8f7992959616831d231b00dccc067f0d509755f2753fca10b2563d9ddfc0e135,1,todo
interface,0,apps/backend/app/db/database.py,57,552b95e109c835f19e16f5d49499d2df5ec5b8f78160d62725b80f65b3e18807,4,todo
interface,0,apps/backend/app/extractors/url_extractor.py,1082,7cfb16aeac5f84632f0b2067d0c7e137dcf47ea7a81caf68b5b3f43adfacbefa,29,todo
interface,0,apps/backend/app/main.py,429,5c282e46a203c4aa19b8785f2b1b800d6dd9fed440f6f036cc693bb1870131a9,15,todo
perimetre,3,apps/backend/app/mcp_server/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,verifie
perimetre,3,apps/backend/app/mcp_server/auth.py,102,45deacee73bd70930345cfab3cacd2b0831bde10615f8ee9f8fb1da0fc70ce2e,5,verifie
perimetre,3,apps/backend/app/mcp_server/schema_compat.py,39,cefa864b183973fd161b8044bfa4de06de918609a9e44fa8565ecfd4c2635303,1,verifie
perimetre,3,apps/backend/app/mcp_server/server.py,758,a43760bc4d8e4067e777edaba1df23569d358a6643f0aed832bfb61a3a21bb62,45,verifie
perimetre,3,apps/backend/app/mcp_server/tools.py,258,26f3e288a813fdb14d78deac96aa203b8449af5380a6906cb4775722ed5d090c,5,verifie
perimetre,3,apps/backend/app/mcp_server/tools_write.py,1876,dfcf2f950f8a2b42c378eddcc30f6238d917ca210f19c71e341bfe1bacd726c3,45,verifie
perimetre,1,apps/backend/app/models/agent_discovery_quota.py,21,ca7b528f9c32a5d646a36eb7945e193fdb579839f2cceee0a0138e3a50ca3090,1,verifie
perimetre,1,apps/backend/app/models/agent_lane.py,66,44d104ea30a42a316290daabe54b7b2f2867d8dff6bb18aa41b59ac679a69d5c,3,verifie
perimetre,1,apps/backend/app/models/agent_provider.py,57,ee1c748604e7e34d954cb58cbf23cb2677c36d27c8a2d1d20f705d52eb5543e4,1,verifie
perimetre,1,apps/backend/app/models/agent_session.py,89,fd353a8993dbd60eb422fa475dae803cdc7146dd8f512a1676a8fa0f5f668f59,2,verifie
interface,0,apps/backend/app/models/biblio_card.py,154,117bdbfd23af9528d9060cbea5327af5d13734f738ef5822c2b5f0841bce68af,7,todo
interface,0,apps/backend/app/models/claim_request.py,22,bb4bf156b595ddab8d5cb9b534308c68df6100682e5241c5c10ab9fa438e9f4c,1,todo
interface,0,apps/backend/app/models/source.py,206,b4644e200c66f0bf72ccce636638103e8acd97c970bc03a9659a9b4a8b9274fa,8,todo
interface,0,apps/backend/app/models/source_excerpt.py,73,41c6af41746e6026ba8331cabffc026cd0e6949a3dec6af46a784845d7fa8c08,2,todo
interface,0,apps/backend/app/models/user.py,56,767a752406165693eecb556d79d0af86f35c9eca519dbacbb240578d13e6198b,1,todo
interface,0,apps/backend/app/models/workspace_file.py,58,30cd6fcba3062a869cb00607d9a518e43ce5728e1ea801fec64d3b783ed78a5f,1,todo
perimetre,1,apps/backend/app/schemas/agent_chat.py,137,35500ecaac8f140c36de066df07191658eb896b2878941049e52426ac886360d,9,verifie
perimetre,1,apps/backend/app/schemas/agent_definition.py,43,547c52dacb8d7e54136f4935711b88a56cb7c61a1ca381db2971e93928feabd7,3,verifie
perimetre,1,apps/backend/app/schemas/agent_provider.py,193,17b0c12ec92af1d949eb7f5ba2d5010115ab09cb75c1def10a912baa961da3aa,7,verifie
interface,0,apps/backend/app/schemas/biblio_card.py,334,16ca38407c305a7d79c51e4859105684f3103087af6d2bdcde97a731ad95491c,20,todo
interface,0,apps/backend/app/schemas/source.py,256,45507b433922d7403dddae8245eaffc5deccbdd9a73cde78462e80d62c35d457,13,todo
interface,0,apps/backend/app/schemas/workspace_file.py,37,99c098587b25fbc6482f7394eef764c66f3b52b6ae3bf043b3c7cbfc105d112f,3,todo
perimetre,7,apps/backend/app/scripts/build_workspace_seed.py,72,7cf2dbb7ec61b0f1df27f52ca16f3d7f163e1b25f9bc116503ad3858cf2efc6b,2,todo
perimetre,7,apps/backend/app/scripts/export_openapi.py,43,d5e60b64817d2b028010a945fdd6b0ce216d6cd2d5ab35e8a4466589b15bb1d8,1,todo
interface,0,apps/backend/app/services/__init__.py,5,68df02b0a62bb9c257728b58365bd26cab6a41d6a3cdbb675f7afa5055de9d9e,0,todo
perimetre,2,apps/backend/app/services/agent.py,1074,f016990c6ccd8f20ebe998cce440ea2f58586c014e834fc902d9ffe19efe431a,20,verifie
perimetre,2,apps/backend/app/services/agent_approvals.py,70,df7f945a81eb51484afc5072a1528cefc96eb1a729c7acb98f2f05523f72b36d,5,verifie
perimetre,5,apps/backend/app/services/agent_definitions.py,192,d46d5c009b4711b0053a1a3158a617ff0ef67f818aae4464cc55ccaa1ce725df,10,verifie
perimetre,5,apps/backend/app/services/agent_discovery.py,142,7fba2a223658c059d98b54f6eebafdeeac5f8a572cdbf9f87caf01342b15cdf6,8,verifie
perimetre,5,apps/backend/app/services/agent_fiche.py,211,0c19cff5bb3c66fdde3c6ae8baaae8ed1ac55f53e9b7481bfc7c89d3c70c37d9,7,verifie
perimetre,5,apps/backend/app/services/agent_gratuit.py,420,6e72c48a56434a0ea1a8f23537b2de9a741df5e314d1aa0173bd0fe4257f4717,19,verifie
perimetre,5,apps/backend/app/services/agent_providers.py,608,3f40d049cd9e7213841069810a488fd00543f0fea83dba210a3161ecc50bfd08,21,verifie
perimetre,5,apps/backend/app/services/agent_workspace.py,320,2aa6731fd250a1021a2fa5492507a80f79b57ad16ade83cc369cd2bab9005a6a,16,verifie
interface,0,apps/backend/app/services/attestation.py,92,49686f1041a1a3cc270a222b86084b505cb71250443513950287cdb686f9b31b,1,todo
interface,0,apps/backend/app/services/auth.py,167,ab1bb5e53193f51cc7c771499e81a0c3e02af4d0741b3906306a48da4e7bc758,2,todo
interface,0,apps/backend/app/services/card.py,259,d8d98045e66ede823dc225ce34b8f1fb2a5e630b96d9b44f6512653adde19438,1,todo
interface,0,apps/backend/app/services/card_link.py,273,5caa958c92c5c3b0188e764f3ae4cd90538669c5566c1de1dc1e1cc5db6fd08d,9,todo
interface,0,apps/backend/app/services/card_search.py,58,b10314e0f31e0a3c7a0af725ccb9a1bd085e2b3e678e4f2d97eebd035ff99880,2,todo
interface,0,apps/backend/app/services/chunker.py,154,7648f8cda6e5c37e2e5df42ea63a218d26a77f14911788dc44e4fbde90a85925,8,todo
interface,0,apps/backend/app/services/citations.py,165,3a3177b2bfcfceec4dc3d04610c8fc0d20acabfe9b65bfeebbfcd8d24455d77d,4,todo
interface,0,apps/backend/app/services/content_identity.py,136,309da8fb0ade167c072f8a4c85231d3d5a92275a19299e643e7bd593103cd28c,4,todo
interface,0,apps/backend/app/services/excerpt_anchor.py,184,ccd0f9d9381c673c12751e4109434c8e7e4bb56801023fdb1ac95194717ae320,8,todo
interface,0,apps/backend/app/services/excerpt_guards.py,56,76a9a7fc442362808944c30f39056458e9aeb020d2e7433f2213babfdc84c5f2,1,todo
interface,0,apps/backend/app/services/excerpt_indexing.py,134,d2075d3d6aa370ff0127ba7d4ac1db6ae52ca129368c71966144f77ffb59122f,3,todo
interface,0,apps/backend/app/services/excerpt_insertion.py,146,35b2e47347e1fd51c61a6d08f7ed70e606dafce4b68ceef822dfbdb99eab8cc4,7,todo
interface,0,apps/backend/app/services/graph_memory.py,304,a830b01907fafd33493c6c7c7734e36d288cd002c12916eef3cb471131ee932d,6,todo
interface,0,apps/backend/app/services/import_parsers.py,877,e8d7d2f29ea12012a529954d3063de205f3cfaf5fb187943fb6a9570b44ad562,24,todo
perimetre,1,apps/backend/app/services/llm.py,715,872b43feeb30f1c9837dba1cf281fbc94d7029cea600daf6706a26f75e534165,27,verifie
perimetre,1,apps/backend/app/services/llm_adapters.py,365,f0e0ec7eb829f8e253a38f8097cbc4ad6b300dd9c76469daf04d50e73fccaf90,10,verifie
interface,0,apps/backend/app/services/wayback.py,715,b217426eafa90e3514230f14f1b923b987efb2e98f42a79fe2cadc150968ba2d,9,todo
perimetre,7,apps/backend/tests/integration/test_agent_chat_api.py,206,1312631f1cbc733d09e12f18990cd1a68913c46e751a6e316ede9e30eaa5c5d9,13,todo
perimetre,7,apps/backend/tests/integration/test_agent_definitions_api.py,91,448517a4672f45494b04596bfb6ef380ffa73b14783ccb4890223926d6956d47,7,todo
perimetre,7,apps/backend/tests/integration/test_agent_fiche_api.py,167,06632dd2e2becad484342b78fa4a1efae97f2235f50f0deba953702216dd2e4c,14,todo
perimetre,7,apps/backend/tests/integration/test_agent_mode_gratuit_api.py,263,9cf3543972d20b8a7a2012da260adb379ca82f7eef00a05f454e49bb7acec4bd,13,todo
perimetre,7,apps/backend/tests/integration/test_agent_providers_api.py,321,447b8908d465d38ebc0a52dfa9bed1e0dfc62a7847a22609294f1baef932b215,20,todo
perimetre,7,apps/backend/tests/integration/test_agent_sessions_api.py,198,1c79be37c256d478b56a7ab5b0d616a33beba52f92b805f39ae25d102c5de52e,14,todo
perimetre,7,apps/backend/tests/integration/test_agent_workspace_api.py,165,bf272cb3da89765c00f8456885db6cc6ab41164d99a5a8e86d39e0b2203101dd,11,todo
perimetre,7,apps/backend/tests/unit/test_agent_definitions.py,142,9fabc0e5f41d49ca6c5a75354f81bc950268a7473db66077265761cd3a14a16b,9,todo
perimetre,7,apps/backend/tests/unit/test_agent_discovery.py,158,6f104f07489d638acd1795d304e46351d44d73ce0779b285379cb8b3dcca28ba,14,todo
perimetre,7,apps/backend/tests/unit/test_agent_fiche.py,240,9501b6b23334b87c4bbad19f93d21142dfea7710b45d9c9930af73ac00858db4,9,todo
perimetre,7,apps/backend/tests/unit/test_agent_gratuit.py,418,98dd6717559808bfd75f6d34d89f3bcfe1c62db4e9ea7e8aa5721b8d34e2190d,10,todo
perimetre,7,apps/backend/tests/unit/test_agent_loop.py,1502,df2ae584da0c62ece757926b5b1888a82d88c279a7057e15f324bd3c306c6639,14,todo
perimetre,7,apps/backend/tests/unit/test_agent_philum_catalogue.py,182,50fb74248f932015cfbfbe40b2c2e204e71b211e896cbad78bafe5f6656d46d6,4,todo
perimetre,7,apps/backend/tests/unit/test_agent_providers.py,693,b84ab4db0d471995613a4f1fb23c71e2ff884f0069d64abc279e80d720546b06,14,todo
